Batch Size,Hidden Size,Learning Rate,Total Epochs,Decay Rate,Validation Accuracy
200,50,0.001,20,0.75,50.7
200,50,0.001,20,0.85,52.2
200,50,0.001,20,0.95,53.2
200,75,0.001,20,0.85,53.7
200,100,0.001,20,0.85,54.1
200,125,0.001,20,0.85,54.4
400,50,0.001,20,0.75,47.2
400,50,0.001,20,0.85,49.6
400,50,0.001,20,0.95,51.5
400,75,0.001,20,0.95,53.2
400,150,0.001,20,0.95,54.3
600,50,0.001,20,0.75,45.5
600,50,0.001,20,0.85,47
600,50,0.001,20,0.95,49.7
600,75,0.001,20,0.95,50.9
600,100,0.001,20,0.95,53.8
800,50,0.001,20,0.75,44.3
800,50,0.001,20,0.85,47.5
800,50,0.001,20,0.95,49.1
800,75,0.001,20,0.95,50.9
800,125,0.001,20,0.95,51.4
